GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
747936692,20180416,201804,2018,2018.2904,MIL,DESTROYER,,,,,,MIL,,,ISRJUD,ISRAEL,ISR,,,,,JUD,,,1,043,043,04,1,2.8,10,1,10,-1.63487738419619,1,Israel,IS,IS,,31.5,34.75,IS,1,Israel,IS,IS,,31.5,34.75,IS,1,Israel,IS,IS,,31.5,34.75,IS,20180416070000,https://www.inn.co.il/Articles/Article.aspx/17416
747936193,20180416,201804,2018,2018.2904,CVL,TOURIST,,,,,,CVL,,,IDN,INDONESIA,IDN,,,,,,,,1,042,042,04,1,1.9,10,1,10,2.55941499085923,1,Indonesia,ID,ID,,-5.0,120.0,ID,1,Indonesia,ID,ID,,-5.0,120.0,ID,1,Indonesia,ID,ID,,-5.0,120.0,ID,20180416070000,http://wisata.harianjogja.com/read/2018/04/16/504/910591/merinding-di-istana-drakula
747936402,20180416,201804,2018,2018.2904,GOV,INTERIOR MINIST,,,,,,GOV,,,DEU,GERMANY,DEU,,,,,,,,1,050,050,05,1,3.5,4,1,4,0.0,1,Germany,GM,GM,,51.5,10.5,GM,1,Germany,GM,GM,,51.5,10.5,GM,1,Germany,GM,GM,,51.5,10.5,GM,20180416070000,https://www.wiwo.de/politik/deutschland/durchbruch-erwartet-tarifverhandlungen-fuer-den-oeffentlichen-dienst-werden-fortgesetzt/21178296.html
747937059,20180416,201804,2018,2018.2904,mos,MOSSI,,,mos,,,,,,GOV,PRIME MINISTER,,,,,,GOV,,,1,042,042,04,1,1.9,10,1,10,-6.0,1,South Korea,KS,KS,,37.0,127.5,KS,1,South Korea,KS,KS,,37.0,127.5,KS,1,South Korea,KS,KS,,37.0,127.5,KS,20180416070000,http://www.hankookilbo.com/v/3f06dd8a3d7b43b8babfcfb212f9eff6
747936258,20180416,201804,2018,2018.2904,ELI,ACTOR,,,,,,ELI,,,,,,,,,,,,,1,111,111,11,3,-2.0,10,1,10,7.61904761904762,2,"Maine, United States",US,USME,,44.6074,-69.3977,ME,0,,,,,,,,2,"Maine, United States",US,USME,,44.6074,-69.3977,ME,20180416070000,http://www.insight.co.kr/news/150342
747935918,20180416,201804,2018,2018.2904,,,,,,,,,,,BUSMOS,BANK,,,,MOS,,BUS,,,1,051,051,05,1,3.4,10,1,10,4.149377593361,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20180416070000,https://www.afriquejet.com/actus/petits-exploitants-benin
747936814,20180416,201804,2018,2018.2904,RUS,RUSSIAN,RUS,,,,,,,,,,,,,,,,,,0,013,013,01,1,0.4,8,1,8,-2.36024844720497,4,"Rossiya, Orenburgskaya Oblast', Russia",RS,RS55,25084,52.4,54.9833,-2993111,0,,,,,,,,4,"Rossiya, Orenburgskaya Oblast', Russia",RS,RS55,25084,52.4,54.9833,-2993111,20180416070000,http://www.diariodenavarra.es/noticias/actualidad/internacional/2018/04/16/putin-amaga-pero-no-pega-587005-1032.html
747937017,20180416,201804,2018,2018.2904,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,0,051,051,05,1,3.4,2,1,2,-3.93664104355929,1,Kosovo,KV,KV,,42.583333,21.0,KV,0,,,,,,,,4,"Moscow, Moskva, Russia",RS,RS48,25106,55.7522,37.6156,-2960561,20180416070000,http://fax.al/news/15530244/trump-serish-godet-mediat
747936680,20180416,201804,2018,2018.2904,MIL,GOVERNMENT FORCES,,,,,,MIL,,,,,,,,,,,,,0,154,154,15,4,-7.2,10,1,10,-2.1917808219178,4,"Idlib, Idlib, Syria",SY,SY12,26365,35.9306,36.6339,-2542538,0,,,,,,,,4,"Idlib, Idlib, Syria",SY,SY12,26365,35.9306,36.6339,-2542538,20180416070000,http://alghad.com/articles/2208062-%D8%AF%D8%B1%D8%B9%D8%A7-%D9%88%D8%AC%D9%87%D8%A9-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A-%D8%A8%D8%B9%D8%AF-%D8%B6%D9%85%D8%A7%D9%86-%D8%A3%D9%85%D9%86-%D8%AF%D9%85%D8%B4%D9%82
747936893,20180416,201804,2018,2018.2904,SYR,DAMASCUS,SYR,,,,,,,,,,,,,,,,,,1,160,160,16,4,-4.0,10,1,10,-0.9478672985782,1,China,CH,CH,,35.0,105.0,CH,0,,,,,,,,4,"Damascus, Dimashq, Syria",SY,SY13,26324,33.5,36.3,-2541260,20180416070000,https://www.tdg.ch/economie/entreprises/Romande-Energie-realise-un-benefice-en-hausse/story/23359297
747936073,20180416,201804,2018,2018.2904,BUS,BOSS,,,,,,BUS,,,,,,,,,,,,,1,043,043,04,1,2.8,10,1,10,3.62694300518135,4,"Jaipur, Rajasthan, India",IN,IN24,17847,26.9167,75.8167,-2098033,0,,,,,,,,4,"Jaipur, Rajasthan, India",IN,IN24,17847,26.9167,75.8167,-2098033,20180416070000,https://www.sanjeevnitoday.com/entertainment/happy-birthday-to-big-boss-fans-bb12-audition-begins/20180416/142238
